name,edition,min_year,max_year,hp,torque,body,door,cylinder,displacement,aspiration,trans,drive,width,height,length,weight
350z,base,2003,2008,287,274,coupe,2,6,3.5,na,both,rwd,,,,
,nizmo,2007,2008,306,268,coupe,2,6,3.5,na,man,rwd,,,,
370z,base,2009,2013,332,270,coupe,2,6,3.7,na,both,rwd,,,,
,nismo,2009,2013,350,276,coupe,2,6,3.7,na,man,rwd,,,,
gtr,r35 base,2008,2021,485,434,coupe,2,6,3.8,turbo,auto,rwd,,,,
frs,base,2013,2016,200,151,coupe,2,4,2,na,both,rwd,,,,
brz,1st gen,2013,2019,200,151,coupe,2,4,2,na,both,rwd,,,,
,2nd gen,2021,,232,184,coupe,2,4,2.4,na,both,rwd,,,,
impreza,2.5rs (gm6),1999,2001,165,166,coupe,2,4,2.5,na,both,awd,,,,
,wrx (blobeye),2003,2005,221,221,sedan,4,4,2,turbo,man,awd,,,,
,wrx sti (blobeye),2003,2005,265,253,sedan,4,4,2.5,turbo,man,awd,,,,
,wrx va,2014,2021,268,258,sedan,4,4,2,turbo,both,awd,,,,
,wrx sti va,2014,2021,305,290,sedan,4,4,2.5,turbo,both,awd,,,,
toyota 86,gt86,2017,2019,200,151,coupe,2,4,2,na,both,rwd,,,,
,gr86,2021,,232,184,coupe,2,4,2.4,na,both,rwd,,,,
supra,a80 base (4th gen),1993,1998,220,209,coupe,2,6,3,na,both,rwd,,,,
,a80 turbo (4th gen),1993,1998,320,315,coupe,2,6,3,turbo,both,rwd,,,,
,2.0 (5th gen),2020,,255,295,coupe,2,6,2,turbo,both,rwd,,,,
,3.0 (5th gen),2019,,382,369,coupe,2,6,3,turbo,both,rwd,,,,
mr2,aw11,1984,1989,112,105,coupe,2,4,1.6,na,both,rwd,,,,
,aw11 supercharged,1988,1989,145,137,coupe,2,4,1.6,supercharged,man,rwd,,,,
,sw20,1990,1994,130,108,coupe,2,4,2.2,na,both,rwd,,,,
,sw20 turbo,1990,1994,200,200,coupe,2,4,2,turbo,man,rwd,,,,
,spyder,2000,2005,138,126,convertible,2,4,1.8,na,both,rwd,,,,
celica,gts,1999,2006,140,125,coupe,2,4,1.8,na,both,fwd,,,,
corolla,sr5,1984,1987,87,85,hatch,2,4,1.6,na,both,rwd,,,,
model3,base,2017,,271,310,sedan,4,0,0,electric,auto,awd,,,,
,performance,2017,,455,487,sedan,4,0,0,electric,auto,awd,,,,
golf,r32 mk4,2004,2004,238,236,hatch,2,6,3.2,na,man,4wd,,,,
,gti mk5,2006,2007,197,206,hatch,4,4,2,turbo,man,fwd,,,,
,gti mk6,2008,2011,207,207,hatch,2,4,2,turbo,both,fwd,,,,
,r mk6,2009,2011,256,243,hatch,2,4,2,turbo,man,4wd,,,,
,gti mk7,2015,2021,227,258,hatch,2,4,2,turbo,both,fwd,,,,
,r mk7,2015,2021,296,280,hatch,4,4,2,turbo,both,4wd,,,,
,gti mk8,2022,,241,273,hatch,4,4,2,turbo,both,fwd,,,,
,r mk8,2022,,315,310,hatch,4,4,2,turbo,both,awd,,,,
