make,name,edition,min_year,max_year,hp,torque,body,door,cylinder,displacement,aspiration,transmission,drive,turbo,super,two_door,man,auto,fwd,rwd,awd
MAZDA,mx5,na8,1994,1997,129,112,convertible,2,4,1.8,na,both,rwd,0,0,1,1,1,0,1,0
MAZDA,mx5,nb,1999,2005,138,119,convertible,2,4,1.8,na,both,rwd,0,0,1,1,1,0,1,0
MAZDA,mx5,nb mazdaspeed,2004,2005,178,166,convertible,2,4,1.8,turbo,man,rwd,1,0,1,1,0,0,1,0
MAZDA,mx5,nc,2006,2013,158,138,convertible,2,4,2.0,na,both,rwd,0,0,1,1,1,0,1,0
MAZDA,mx5,nd 1.5,2015,2019,129,111,convertible,2,4,1.5,na,man,rwd,0,0,1,1,0,0,1,0
MAZDA,mx5,nd 2.0,2019,2023,181,151,convertible,2,4,2.0,na,man,rwd,0,0,1,1,0,0,1,0
MAZDA,rx7,fb,1978,1980,138,133,coupe,2,0,1.3,na,both,rwd,0,0,1,1,1,0,1,0
MAZDA,rx7,fc,1985,1992,146,134,coupe,2,0,1.3,na,both,rwd,0,0,1,1,1,0,1,0
MAZDA,rx7,fc turbo ii,1987,1990,182,183,coupe,2,0,1.3,turbo,man,rwd,1,0,1,1,0,0,1,0
MAZDA,rx7,fd,1993,1995,255,217,coupe,2,0,1.3,turbo,both,rwd,1,0,1,1,1,0,1,0
MAZDA,rx8,base,2003,2011,232,159,sedan,4,0,1.3,na,both,rwd,0,0,0,1,1,0,1,0
MAZDA,mazda3,mazdaspeed 3,2010,2013,263,280,hatch,4,4,2.3,turbo,man,fwd,1,0,0,1,0,1,0,0
MERCEDES,c class,c250 w204,2007,2013,201,229,sedan,4,4,1.8,turbo,auto,rwd,1,0,0,0,1,0,1,0
MERCEDES,c class,c63 w204,2007,2013,451,443,sedan,4,8,6.2,supercharged,auto,rwd,0,1,0,0,1,0,1,0
MERCEDES,slk,slk230,1996,2004,194,207,convertible,2,4,2.0,supercharged,both,rwd,0,1,1,1,1,0,1,0
MITSUBISHI,lancer,evolution 8,2003,2005,261,261,sedan,4,4,2.0,turbo,man,awd,1,0,0,1,0,0,0,1
MITSUBISHI,lancer,evolution 10,2009,2015,291,300,sedan,4,4,2.0,turbo,man,awd,1,0,0,1,0,0,0,1
MITSUBISHI,3000gt,vr4,1994,1997,320,307,coupe,2,6,3.0,turbo,man,4wd,1,0,1,1,0,0,0,1
NISSAN,240sx,s13,1989,1994,140,152,coupe,2,4,2.4,na,both,rwd,0,0,1,1,1,0,1,0
NISSAN,240sx,s14,1994,1998,155,160,coupe,2,4,2.4,na,both,rwd,0,0,1,1,1,0,1,0
NISSAN,300zx,z32 twin turbo,1990,1996,300,283,coupe,2,7,3.0,turbo,both,rwd,1,0,1,1,1,0,1,0
NISSAN,240z,base,1969,1973,151,146,coupe,2,6,2.4,na,man,rwd,0,0,1,1,0,0,1,0
NISSAN,350z,base,2003,2008,287,274,coupe,2,6,3.5,na,both,rwd,0,0,1,1,1,0,1,0
NISSAN,350z,nizmo,2007,2008,306,268,coupe,2,6,3.5,na,man,rwd,0,0,1,1,0,0,1,0
NISSAN,370z,base,2009,2013,332,270,coupe,2,6,3.7,na,both,rwd,0,0,1,1,1,0,1,0
NISSAN,370z,nismo,2009,2013,350,276,coupe,2,6,3.7,na,man,rwd,0,0,1,1,0,0,1,0
