make,name,edition,min_year,max_year,hp,torque,cylinder,displacement,aspiration,transmission,drive,body,door
Hyundai,Veloster,Turbo (FS),2012,2018,201,195,4,1.6,Turbo,both,fwd,hatch,3
Hyundai,Veloster,N (JS),2019,2022,275,260,4,2,Turbo,both,fwd,hatch,3
Pontiac,GTO,5th Gen,2004,2004,350,365,8,5.7,na,both,rwd,coupe,2
Pontiac,GTO,5th Gen,2005,2006,400,400,8,6,na,both,rwd,coupe,2
Nissan,400z,base,2022,,400,350,6,3,Turbo,both,rwd,coupe,2
